"product_link","discount_percentage","product_image","product_name_plus_year","new_price","snize-visually-hidden","old_price_before_discount"
"https://winechateau.com/collections/wines/products/ber-m-v-crush-red-6pk","16% off","https://cdn.shopify.com/s/files/1/1780/9427/products/BER-MV-CRUSH-RED_large.jpg?v=1746066579","BER M&V CRUSH RED -","$15.97","Old price","$18.97"
"https://winechateau.com/collections/wines/products/beringer-premium-blush-white-zinfandel-california","16% off","https://cdn.shopify.com/s/files/1/1780/9427/products/BERINGERPREMIUMBLUSHWHITEZINFANDEL_CALIFORNIA_large.jpg?v=1665905408","BERINGER PREMIUM BLUSH WHITE ZINFANDEL, CALIFORNIA","$9.97","Old price","$10.97"
"https://winechateau.com/collections/wines/products/bertani-due-uve","11% off","https://cdn.shopify.com/s/files/1/1780/9427/products/BERTANI-DUE-UVE_large.jpg?v=1746066698","BERTANI DUE UVE","$23.97","Old price","$26.97"
"https://winechateau.com/collections/wines/products/biokult-zweigelt-pinot-noir","14% off","https://cdn.shopify.com/s/files/1/1780/9427/files/BIOKULT-ZWEIGELT-PINOT-NOIR_large.jpg?v=1746124074","BIOKULT ZWEIGELT PINOT NOIR","$17.97","Old price","$20.97"
"https://winechateau.com/collections/wines/products/bodegas-morca-morca","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/BODEGAS-MORCA-MORCA_large.jpg?v=1746066861","BODEGAS MORCA MORCA","$40.97","Old price","$46.97"
"https://winechateau.com/collections/wines/products/bodegas-muga-21-rosado","11% off","https://cdn.shopify.com/s/files/1/1780/9427/products/Bodegas-Muga-21-Rosado_large.jpg?v=1746066873","Bodegas Muga 24 Rosado","$16.97","Old price","$18.97"
"https://winechateau.com/collections/wines/products/borgo-magredo-prosecco-doc","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/BORGO-MAGREDO-PROSECCO-DOC_large.jpg?v=1746066937","BORGO MAGREDO PROSECCO DOC","$55.97","Old price","$63.97"
"https://winechateau.com/collections/wines/products/borgo-margredo-pinot-grigio","12% off","https://cdn.shopify.com/s/files/1/1780/9427/products/BORGO-MARGREDO-PINOT-GRIGIO_large.jpg?v=1746066939","BORGO MARGREDO PINOT GRIGIO","$14.97","Old price","$16.97"
"https://winechateau.com/collections/wines/products/bouchard-pouilly-fuis","12% off","https://cdn.shopify.com/s/files/1/1780/9427/products/BOUCHARD-POUILLY-FUIS_large.jpg?v=1746066989","BOUCHARD POUILLY FUIS","$37.97","Old price","$42.97"
"https://winechateau.com/collections/wines/products/bousquet-ameri","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/BOUSQUET-AMERI_large.jpg?v=1746066997","BOUSQUET AMERI","$34.97","Old price","$39.97"
"https://winechateau.com/collections/wines/products/bousquet-malbec-dulce","16% off","https://cdn.shopify.com/s/files/1/1780/9427/products/BOUSQUET-MALBEC-DULCE_large.jpg?v=1746067017","BOUSQUET MALBEC DULCE","$15.97","Old price","$18.97"
"https://winechateau.com/collections/wines/products/broadbent-madeira-10-yr-old-sercial-dry","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/BROADBENT-MADEIRA-10-YR-OLD-SERCIAL-DRY_large.jpg?v=1746067067","BROADBENT MADEIRA 10 YR OLD SERCIAL DRY","$45.97","Old price","$52.97"
